yorumlar,duygu
"Ürün şarjı çabuk bitiyor, ekranı kolay çiziliyor, bazen de ekranı kararıyor. Bu fiyatı hak ettiğini düşünmüyorum.",negatif
kalitesiz silince boyası hemen geçti,negatif
Ürünü beğenmedim kullanişsiz iade edeceğim,negatif
"Urunun rengi mat siyah degil. Mat siyah diye bir renk secenekleri de
yok. Gelen kutunun uzerinde Aqua black yaziyor. Amerika web sitesinde de
aqua black olarak acikca belirtiliyor. Saatin yuzeyindeki mat boyanin
uzerine koruyucu vernik atilmamis midir nedir, daha ilk gunden boyada
cam yuzeyine yakin yerde boya atmasi olustu. 2. haftadayım, 4 noktada
boya atması var. Boyle giderse 2 aya bütün boyalar dökülecek.. Servise
götürdüm, kullanıcı hatası diyorlar. Şaka gibi! İade etsem edemiyorum.
Kullancı hakları mahkemesine taşıyacağım durumu, samsung
  ilgilenmiyor",negatif
tlfiphone 15 e 5 basar memnun kaldım sağlam,pozitif
Anneme aldım güzel,notr
ürün yalnız bır beden buyuk almanızı öneririm,pozitif
rahatlık 0 cidden,negatif
rahat kibar bi ayakkabı kardeşime beğendi,pozitif
bi beden büyük alın,negatif
şeyi telefon satıcı ayrı hızlı zaten aldıktan kaç gün indirime girmeseydi iyiydi,pozitif
"Ürün fena değil ancak gönderen firma güzel paketleme yapmayıp, sadece kutusuyla göndermiş. Ürün darbe almıştı ve ayağı kırık çıktı",notr
ürün tam fiyat performans ürünü rahat siyah gri rengini kendi bedeninizi tercih edebilirsiniz 168 boyum 53 kiloyum m beden evde rahat olsun bilerek bol m beden hafif salaş oldu kumaşı yumuşacık ince kalın tam yürüyüş şortu benim cebi olsaydı efsane olurdu fiyata göre g,pozitif
taşları dökülüyor beden büyük alın bence,negatif
500 metreküp değil beyler. Çekmiyor bildiğin kuru gürültü.,negatif
kendi bedenimi aldığıma rağmen kollardan bol yüzden 1 puan kırdım 🥺,negatif
ALMAYIN GÜVENMEYİN SAAT ALDIM BLUETOOTH KULAKCIK YOLLADILAR İADE KABUL ETMEDİLER,negatif
Başlıkta yazdığım gibi kanalı geçtiğinizde karartıdan sonra ilk ses ve görüntü geliyor ancak görüntü yarım saniyeliğine donuk gelmekte. Next in bu ürününü desteklemesi ve bu sorunu çözmesi gerek. Onun dışında menü tasarımı iyi. Cihaz çok küçük. Sorun yok diyecekken komforu baltalayan bir sorunla gelmiş. Yazılımla düzeltileceğine inanıyorum.,notr
Baya kalitesiz bir kumaşı var bence kullanılmaz iade ettim,negatif
rahatlık istiyorsanız kesinlikle almalısınız 3 alışım gün geçtikçe yükseliyor fiyatı stoklamayı düşünüyorum,pozitif
telefon kullanışlo tavsiye ederim,pozitif
ürün sesi hiç güzel çıkmiyo rahtsz edici bı ses cikiyo bozuk gibi neden öyle,negatif
indirime girdikçe stokladigim ürün bana geldiğine inanıyorum cildimde çıkan aktif sivilceleri 1 gün kurutuyor,pozitif
Orta ve uzun vadede ne olur bilemem ama bu paraya evladiyelik ürün beklemek hayalcilik olur. Birkaç yıl kullanabilirsem ve fiyatı da mantıksız bir şekilde artmadığı sürece aynı makineyi tekrar bile alabilirim.,notr
dandik yaramaz,negatif
"başka markaya bakmaya gerek yok, yapılan yorumlar doğru",pozitif
urun begen dım skıntısız geldı ama urunu alıcak arkadaslar sunu bılsınler urun sac ıcın uggun degıl sakal ıcın uygun,notr
Güzel ürün kullanışlı biraz sert daha yumuşak bekliyordum ben ama yinede fiyatına göre güzel ürün,notr
beş para etmez ekranı parlak nede resimleri üstelik tuşlu telefon niyetine kullanıma,negatif
tek ürün geldi,negatif
kadar anlatamam almışım 36 giyiyorum tam numaranızı alabilirsiniz ayak bileklerim kalın olmasına rağmen bantıları tam oldu ayaklarım taraklı ince değil yine durdu oldukça rahat yeşil rengini,pozitif
"bu paraya bu cihaz harika,2 günde geldi,aynı gün servisi aradım geldi kurdular.. daha ne olsun",notr
güzeldi ürün 1 beden küçük alın,pozitif
nişanlıma beğendi kesinlikle rahat guzel ürün,pozitif
tam numaranızı alabilirsiniz çokta kaliteli bişey değil beklenti içinde olmayın,negatif
Çok dandik bir ürün kapağı lastik bir malzeme  ile tutturulmuş.Sıcak su kaynağında içindeki plastik madde ne olucak bilemiyorum.Kesinlikle almayın.,negatif
gayet kurulumunu dışarda bilgisayarcıya yaptırdımhızlı gönderi teşekkür ederim,pozitif
Urun güzel ancak soğanları istediğim gibi kıymıyor bosch almadığına pişmanım eminim bosch alacağım al sana ikinci masraf,negatif
anneme hediye olarak makine kasması falan yok rami yüksek olduğu diğer markaların standart 3k fiyatlı 3gb ramli ürünlerinden ısınma mısınması yok canavar,pozitif
mağaza kalite ürün paketleme kalite olarak parasını hakediyor . bu marka ürünü kaç yıldır kullanırım sağlam ürün fiyat uygun ben tavsiye ediyorum memnunum. daha önceden siyah olan cihazı kullandım 4 yıl elimden düştü dişi kırıldı içten baglanti dişi. ürün bakımı yapın arada yağlayın süper ürün,notr
babam belli yaşın üstüne akıllı telefona karşıyım başlarını belaya sokuyorlar internetteses düzeyi yüksek iki zil sesi var sadecemüzik yüklicembabam radyosu olsun istiyordu gayet konudakullanımı basitşarj konusunda sıkıntı olur bilemiyorum şimdilik yok kurcalamadımses düzeyi bencetuş kilidi k,negatif
l beden m 160 60 kiloyum salaş durmasını istiyorsanız xl alın,notr
Ürünün tasarımı mükemmel fakat bilgisayara takınca aşırı ısınıyor,notr
tam bedeninizi alabilirsiniz kumaşı esnek beden buyuk almistim guzel oldu resimdekiyle tamamen aynı,pozitif
ürün şık topuk boyu benim yüksekti bi kısasını almak iade ettim tam numara alınmalı,pozitif
numara büyük alınmalı satıcı ilgiliydi,pozitif
ucu güzel ancak rengi biraz soluk oluyor kat kat sürmeyince.,notr
Çok yüksek beklentileriniz varsa karşılamayabilir ancak vaadini sorunsuz gerçekleştiren bir ürün tavsiye ederim,notr
orijinal genpa samsung türkiye garantili sıfır temiz telefon satıcı hızlı kargoladı 1 günde paketlemesi iyiydi,pozitif
telefon sapasağlam ulaştı teşekkürler,pozitif
rahat bence kendi numaranızı alın 37 giyiyorum 38 büyük oldu,pozitif
ürün rahatti 36 aldiğim halde baya büyük kaldi malesef,negatif
ürün gezel kaliteli telefonu bilen alır satıcı güvenilir korkarak istediğim telefon sorun olmadan,pozitif
2017 Üretimi Ssd Gönderildi.Urun hızı ve performansı Oldukca iyi.Kargo Hızlı,notr
"Ürünü aldım şükür Bi sıkıntı cıkmadı 2 aydır kullanıyorum Bi problem
yasamadım tavsiye ederim.",pozitif
ürün tam numaranızı alabilirsiniz,notr
kaliteli ürün mağaza hızlı şekilde gönderim sağladı sorunsuz şekilde ulaştısadece kalıptan dolayı giydiğiniz bedenin büyüğünü alın,pozitif
satıcı hızlı şekilde kargoya verdi ürün hasarsız şekilde elime ulaştı rengi fotoğraflardaki canlı değil metalik mavitasarım programlarım şimdilik memnunum,negatif
fiyatına göre mantıklı ürün şarjı 56 gün gidiyor özellik olarak değerlendirmiyorum özelliği yok 😀 çocuk aldık arama yapsın yeterli,pozitif
Çok güzel kizim için aldim cok sevdi,pozitif
aldığım ilk anda şarja taktım ürün ısınıyordu iade ettim,negatif
Aldim 2 hafta sonra bozuldu,negatif
kibar telefon ayrıca şarjı gidiyor,pozitif
Benimki de çizikli geldi %50 indirimden aldığım için tutabilirim. İade edilebilir durumda yoksa,notr
Aşırı kalitesiz,negatif
"Makine geldi, kurulumu için servisi aradım kayıt bıraktım o gün
geleceklerdi gelmediler ertesi gün aradım kaydınız yok dediler, oysaki
kayıt bırakmıştım, neyse yine kayıt bıraktım gelip kursunlar diye
geldiler yaptıkları tek şey gider borusunu takmak su bağlantısını
yapmadan gitmiş çiftli musluk diye olmaz demiş, akşamı eve gittiğimde
bizzat kendim taktım su bağlantısını yaptım. Herşeyi koyduk tuzunu vs.
ilk yıkamada cam tabakları, cam tencere kapağını mahfetti çizik içinde
bıraktı servisi aradım bu bir arıza değil dediler servis gelirse ücret
alır dediler ısrarla gelmelerini söyledim, geldiler bir kaç ayarlama
yapıp gittiler bir kaç yıkamada yine çizmeye başladı, sonraki yıkamalar
düzelmeye başladı ama keşke almasaydım dedim keşke. Arkadaşlar beyaz
eşya hakikaten şans işi iyi olup olmaması benim başımdan bunlar geçti
alıp almamak sizin tercihiniz.",notr
"ilk günden beri buhar atmıyor, hiç tavsiye etmem",negatif
süper olmasada telefon,pozitif
kardeşim sokakta top oynarken kullanıyor profesyonel beklemeyin,negatif
düğün ayakkabım numara büyük tercih ettim rahat umarım düğünde rahat ettirir,pozitif
rahat ver istediğim yorumlardan dolayı bi büyük numara istemiştim bence kendi ayak numarama göre sipariş vereydım oldurdu,negatif
ürün eti pişirmiyor paranız varsa daha iyisini alın.,negatif
dokusu var m beden tam oldu tam bedenim yok üstünüzde gönül rahatlığı alabilirsiniz,pozitif
Kaliteli ürün ????????????,pozitif
gömlek beden küçük oldu,negatif
Taban yapışması sorunu yaşadım 10 günlük ütünün iadesini yapamıyorum,negatif
ekran kartına işlemci zayıf kalmış işlemci yazılan değeri veremiyor işlemciyi tam kullanan oyun olursa soğutamıyor 100 dereceyi görünce işlemcinin gücünü kısıyor işlemci gücü istemeyen oyunlarda akıcı evet dlss yapay zeka fps açınca fps istediğinde cpu yetersiz tavsiyem 12650h i7 modelini alın pişmanım açık,negatif
fiyata göre kendi numaranızı alın,notr
hafif ekran kalitesi herkese tavsiye ederim,pozitif
telefon getiriyor adam kapiya firlatip gitmis kutu neredeyse açılacak dunya para veriyoruz bunlara,negatif
əladır oversizedir odur beden kiçik ala bilərsiz material qalın və rahatdır,negatif
Daha önce de bir tanıdığıma hediye olarak almıştım gerçekten çok memnun olduğunu söyledi. Bu anneler gününde favori hediyem sensin ??,pozitif
aldığımız ürünün bataryasında sıkıntı yaşadık,negatif
fiyatlarda edinebileceğiniz laptoplardan diyebilirim kurulumu evet uğraştırdı bence buna değer yorumlardan dolayı sağlam gelir mi tedirgin olmuştum sapasağlam sorunsuz elime ulaştı oyun performansı gayet düşük ayarlarda 170 fps e kadar gördüm performans ayarlarından pil ömrü 7 saate kadar uzad,pozitif
iyi fena deyil,notr
167 57 kiloyum normalde m beden alirim sefer olmadı kastı corap üzerimde problem etmiyorum üzerine 15 denye giydiğimde sorun olmuyor kalitesi,pozitif
her yeri yapiskandi berbat indirimdeyken aldim almaz olaydim(((,negatif
zaten kullandığım ürünlerdi indirimde yakalayınca stokladım karma yağlı ciltim var yağlandırmadan sivilcelendirmeden nemlendirdi verdiği aydınlık görüntüye bayılıyorum,pozitif
di tm beden alın,notr
yeri yumuşacık 162 55 kiloyum sıkmasın m beden tam oldu 3 renginide iyiki almışım,pozitif
benim beğendiğim top değilde başka model gönderdiler kandırdılar derseniz deyin,negatif
ürün fiyatına göre çok iyi sadece biraz yavaş,notr
rahat ürün yaz boyu kullandım tam numaranızı alabilirsiniz,pozitif
Ürünü hızlı bir şekilde evime geldi servis kurulumu yaptı. Cihazı test etmelerini istedim gözle bakarak bi sıkıntı olmadığı söyleyip gittiler malum kurulum gündüz yapıldı ışıkta pekde test yapılmıyor. Akşam ışıkları kapatıp netflix açtığımda cihazın üstünde ışık sızdığını ve hafif bulutlanma olduğunu gördüm bayada bi rahatsız edecek duzeyde. Servisi aradim resim gönderin dediler 14 gün geçti ara ara arayıp sorduğum halde çözüme kavuşmadı. Neyseki amazzon dan almışım tekrar paketleyim gönderdim ve para iadesi aldim. Tv yi çok beğenmiştim heralde burdan yenisi alacağım amazzona teşekkür ederim.,notr
sene 2020 posetle ayakkabı geldiğine şahit oldum. hadi bir bakayım dedim poseti acinca gelen koku beni iade et beni iade et dedi bende o kötü kokuyu kırmadım iade talebini açtım. size önerim uzak durun ciddiyim 19 gunde teslim aldim trendyolda yaptığım en en kötü alışveriş deneyimi faciaa,negatif
beden kucuk alın ürün gayet,negatif
terlik hafif 39 giyiyorum 40 guzel oldu,pozitif
Dun siparis ettim sabah geldi urun kargo cok hizli tebrik ederim.urune gelince urun disaridan evet cok guzel ve şık tezgahda da guzel duruyo lakin kahveyi guzel pisirmiyo .cay tarafida su kaynayinda oturtma bolgesinde su birikiyo.,notr
ürünün orijinal olup olmadığından emin olamadım???,negatif
yorumalrda biraz endişe etmiştim ses konusunda fakat muhteşem kesinlikle dışarı verdiği ses gayet ideal herşey çok güzel yanında USB de göndermişler teşekkür ederim çok severek kullanıyoruz. tek skıntı kumandası çok çekmiyor dibine kadar gelmek zorundayz ve her düğmeden açınca ufak bir açılma müziği gbi ses çıkıyor açınca onun dışında problem yok. keşke kumandası daha iyi olsaydı bu yüzden bir yıldız kırdım. güncelleme kuman,negatif
oldu tam bedenime göre kendi bedeninize göre alabilirsiniz,pozitif
Küçük oglum için di zaten küçükmüşte ürün ki Fena değil alınabilir daha iyisi daha çok para,notr
göründüğü kaliteli eşime aldık ayağı 40 numara yorumlara bakarak 39 aldık tam oldu rahat oldupunu söylüyor hızlı 2 günde elimize ulaştı teşekkürler,pozitif
ürün göz yakıyo değişik bi his bırakıyor ciltte begenmedim kokusuda eh işte,negatif
Fotoğraftakinden ve beklediğimden daha dandik ince bir ip. Kullanılıyor ama tavsiye etmem,negatif
yenilenmiş değil sıfır telefon resmen iyidi,negatif
İçeriğinde pek fazla bir şey yok ve olan şeyler yanlış şeyleri açıyor birde bağlanması zor yani pek güzel bir tasarımı yok memnun kalmadım ama kargo ve paketleme konusunda gelme konusunda süper,negatif
hediye olarak memnun kaldılar samsung dan kaliteli şık duruyor hemde özellik olarak diğer markalardan,pozitif
"Hediye olarak aldığım için açıp bakmadım. İlk kullanım denemesinde sorun verdi. hepsiburda.com müşteri hizmetleri ile iletişime geçtiğimde imalat hatalarında 30 gün içinde iade-değişim talep edebileceğimi söylediler. Ama o gün 35. gündü. Bende servise verdim. 25 günde geldi. Şu an sorunsuz çalışıyor.

Alacaklara tavsiyem, geldiği gün makinayı deneyin. Bu tür eşyalar sonra kullanılmak üzere kutusunda çıkarılmadığı için bu tür sorunlarla karşılaşmamak için hemen kontrol edin.",notr
aşırı şık duruyor kesinlikle alınır tam numaranızda alabilirsiniz,pozitif
ürün kolisi paramparça üründe sorun yok evet kama kutusu hasarliydi tablet 16gb ram deniliyor 12 gb gözüküyor 16gb yükseltiliyor onu çözemedim oyunlarda çözünürlük sorunu var,negatif
Kalitesi çok kötü hiç tavsiye etmem,negatif
ayağım 385 39 tam olduayakkabı gören herkes nerden aldin soruyorpaketleme güzeldikargo hızlıydı kalitesi zaten guzel 1 haftadır giyiyorum gayet rahat sağlam tavsiye ederim,pozitif
arkadaş önerisi kullanımi rahat yapış yapış yapmıyor bayada büyük epey gider işe yarayıp yaramadığını zamanla göreceğim,negatif
kendi bedenimi söylememe rağmen küçük,negatif
teslimat hızlıydı trendyol express 3 gün içinde teslim edilecekti normalde beni aradıklarında telefonu duymadığım ertesi güne sarktı hızlı şarj oluyor ısınıyor prize takılıyken rengi hoş kutuda adaptör olmaması can sıkıcı,negatif
anneme beğendi rahat,pozitif
Ürün bıçakları çok keskin sakal ense için biçilmiş kaftan saç kesmek için alacaklara tavsiye etmem makina ona uygun değil diğer eksi yönler şarj kablosu çok basit kopacak gibi heran makina biraz tahriş ediyo cildi ve garanti belgesinde ne firma kaşesi nede garanti başlangıç tarihi var birde kutu açılmış gibi onun harici canavar,notr
Kargo bir iki gün içinde eksiksiz ve sağlam geldi. Makine tek kelime ile mükemmel. Geldiği gibi hiç şarj etmeden 4-5 defa traş oldum. Bu fiyata bu performans çok çok çok iyi,pozitif
büyük beden sipariş vermenizi tavsiye ederim,negatif
"Sorumlusundan dağıtıcısına kadar seri yalan söyleyen bir firma illaki bu firmayla kargo göndermek zorundamisiniz.
Cuma gelen ürünü Pazartesi zorla şubeden ancak teslim alabildim.",negatif
i̇ndirimdeyken almıştım rahat ayakkabı markanın ayakkabılarını beğeniyorum zaten kendi numaranızı alsanız sorun olacağını sanmıyorum numara büyük sırıtmadı,pozitif
"Ürün öyle çok kaliteli ve sağlam değil, basit bi alet. Hatta bir tuşu bozuldu kendimiz içini açıp tamir ettik.Üretici kalitesiz de olsa nostalji sevenler ürünü alır diye düşünmüş olmalı... haklı...",negatif
yumuşak rahat annem,pozitif
beğendim numara büyük alın,pozitif
pek beyenmedim garip dikimi var yanlarda büyük cepleri var cepler cep dikilmemiş eteyin kulağı görünüyor yanlardan çıkan 2 kulak bence eteyi l xl beden giyenler almasın,negatif
urun gayet guzel begendim kendi bedeninize gire alin,pozitif
Eh işte idare eder,notr
merhaba kutudan kumanda da cikti. diger yorumu okuyunca kumanda olmadigi icin terettut de kalmistim ama kumanda cikti benim kutumdan tesekkurler hp.,notr
Ürün kaliteli  ve iyi fiyat,notr
ekran koruyucu şeffaf kılıf teşekkür ederim,pozitif
oldu 12 yaş kızım s beden tam oldu,negatif
tam beden alabilirsiniz dokusu yumuşacık,pozitif
gayet oversize istiyorsanız beden büyük alın,negatif
ayakkabı yumuşacık rahatkendi numaranızı alabilirsinizsevdim ben👏👏👍,pozitif
"Ürün montesin de su haznesi kapağı bozuk çıktı . Yerine takıldıktan
sonra vidalı ağzından su kaçırıyor. Servisine götürdük bir hafta sonra
parça geleceğini haber beklememizi söylediler.Buharlı soğutucu kısmını
halen kullanamıyoruz. Pervane de sağa sola salınımda ses yapıyor.",negatif
severek kullandığım ürün yumuşacık bşr cilt ideal,pozitif
Üründen az ses çıkmaktadır,negatif
kendi bedeninizi alin s aldim dar,negatif
öylesine aldığım iadeyle uğraşmadım şarjı 1 saat gidiyo bugün elime ulaştı kullandım ekran yıllardır kullanılmış donuyo,negatif
tam bedeninizi alabilirsiniz rahat ayakkabı satıcıya teşekkür ederim 🙏🏻,pozitif
şimdiye kadar kullandığım güneş kremi bence başta beyaz yapıyor miktarda kullanmak lazım süre beyazlık gidiyor yüzde duruyor 🥰 alacağım yaza stok yapmak lazım,pozitif
ürünü indirimsiz aldim ona üzüldüm inatci bebek saclarimda kullandim köpükten güçlü değil ortalama perforrmansi saçda agirlasma yapmamasini kirletmemesini kolay temizlenmesini sevdim fircasi pürüzsüz topuz icin,negatif
kendi bedeninizi alın urun,pozitif
gönderdiğiniz telefonu hoşuma gitmedi an kullanmıyorum,negatif
tek kelimeyle bayildim 16852 kilo s beden istedigim durdu asiri rahat asla indirime girmiyor,pozitif
1 haftayı gecti geleli kullanıyorum güzel beğendim akması yok bulaşması yok hemde kampanyalı fiyatla aldım bu daha da hoşuma gitti,notr
ürün gayet başarılı çocuk fiyata iş görebilecek bilgisayar ayrıca tasarım olarak beğendim,pozitif
"Ürün geldi horoz lojistik ile. Gayet sorunsuz çalışıyor, kurulumu
yapıldı çalıştırdım.Tesekkurler",pozitif
çok küçük geldi ve siyah degil iki renkli yinede idare eder,notr
rahat kullanışlı ayakkabı olabilirr✅ kendi numaranız alabilirsiniz,pozitif
numara büyük tam oldu rengi aşırı,negatif
gayet rahat şık 37 giyiyorum 38 tam 1 beden büyük alınmasını tavsiye ederim,pozitif
istediğim bedenden büyük,negatif
herşey tam eldiven bandaş olsun cok kaliteli kick boks antramında kunlandım dahanıklı duruyor almanızı tavsiye ederim,pozitif
iphone kalitesi 👌🏻,pozitif
tam numaranlzı alın,notr
bı telefon 3 yıldır kullanıyorum bı sorun yaşamadım,pozitif
i̇yiki almışım severek kullanıyorum beden büyük alınabilir,pozitif
rahat kumaşı var yalnız esneyen kumaş değil ml arası giyiyorum l beden öyle almışım üstüme yapışmadan bol rahat durdu,negatif
"Ürün Yok daha Nerede Kim kullanıyor bilmiyorum Suç Kargo Firmasın da
olsada az bi ilgilenin ya vurdum duymaz Tavırlar :/",negatif
ürün elime ulaştı ertesi gün iade süreci başlattım açıklamalarda var olarak belirtilen hdmi özelliğinin olmadığını gördüm cihazda iade reddedildi kaldı aşağıda belirtilen kanun kapsamında hiçbir gerekçem olmadan 14 gün iade hakkım bulunmaktadır 6502 sayılı tüketiciyi koruma kanunun 48 maddesi cayma iade hakkı şunu,negatif
36 beden tam oldu rengi acik mankendeki deyil,negatif
baya büyük xxl beden kere tam olur kaliteli giyerim i önemli olan islanmamak kendim s bedenim,pozitif
botu çoook beğendim aynı göründüğü kendi numaranızı alabilirsinizz,pozitif
önceki telefonum samsungtu yine düşünmeden samsung fotoğraf çekimi ekran parlaklığıhızı s22 alacaktım microsd kart desteği olduğundan telefonu tercih ettim pişman olmadım tavsiye ederim,pozitif
tam bedeninizi alın duruyor ince wevdim,pozitif
"kolu sürekli çıkıp duruyor, hiç kullanışlı değil",negatif
Çok fazla sivilcem olmasa da arada tek tük çıkanlar için aldım sivilceler küçük olmasına rağmen etkisi çok az,notr
Hızlı kargo için teşekkürler. Eski günleri hatırlattı ??,pozitif
memnun değilim dönüyor hafızası çabuk doluyor kamerası kaliteli degil,negatif
Ürün çok güzel gelir gelmez denedik hemen tuşlarda da hiç bir sorun yok. Paketleme de çok güzeldi çok korunaklı bir şekilde geldi. Paketleyen arkadaşa teşekkürler :),pozitif
oversize dursun istiyorsaniz kaç beden büyük alın,negatif
leke konusunda etkisini görmedim yazın akşam sabah yapmak gelecektir yüzü temiziliyor yağlı veye terli olduğunuzda makyajın son kalanını temizlemekte gayet başarılı,negatif
cok guzel bedeninizi alın,pozitif
etek guzel ustu kucuk geldı kalıbı dar,negatif
korkmaza hiç yakışmadı ızgaranız beş  para etmeztepsi nasıl çıkacak nasıl yıkanıp temizlenecek bu ürünü köyden getirdiğiniz bir çobanamı yaptırdınız.avrupa bizi sanırım bu yüzden kıskanıyor,negatif
Eh işte bence değmez,notr
tatlı duruyo 63kg 170 boyum var l beden oldu,pozitif
Çok uzun süre beklememe rağmen ısınmadı hiç memnun kalmadım,negatif
öncelikle iade etmeyi düşündüm ancak kutusunu attıgımıda için iade girisiminde bile bulunmadım. su tankı yok. suyu kahveyı şekeri siz koyuyorsunuz iyice karıstırıyorsunuz ocaga koyacagınıza oraya koyuyorsunuz sadece ısıtıyor. max cizgisini gecmediği halde tasıyor. bence almayın. kahvenız ıyıyse tadı zaten iyi oluyor.,notr
fiyatına göre idâre eder,notr
kaliteli ürün adidas ürünleri genişlediği tam numara i̇yi öyle yapmışım açılıyor,pozitif
kumaşı değil iç gösteriyor s beden m duruyor hediye etmeyi düşünüyorum,negatif
tek beden l vardı bana eşime küçük sıktı kafalarımız pek büyük sayılmaz denizde denemedik henüz su geçirir mi bilemiyorum baş ağrısı yapacak,negatif
Cihazı genel olarak başarılı buldum ancak gyroscope sensörü maalesef cihazda bulunmuyor dolayısıyla video kayıtta gyro-eis (titreşim engelleme) desteği yok. Ayrıca 4k kayıt desteği de maalesef yok. Video kaydı konusunda bu yüzden rakiplerinin gerisinde kalıyor. Öte yandan Google servislerinin olmaması normal bir kullanıcı için düşündürücü bir durum. Öyle sanıyorum ki pek çok kişi bu durumdan muzdarip olacaktır. Umarım ilerleyen günlerde fiyat konusunda bir indirim uygulanır böylece rekabette kendisine yer bulabilir diye düşünüyorum.,notr
kaba ürün tam numaranızı alın arkadaşlar yorumlara bakarak numara büyük bol geri iade etmek istemediğim anneme verdim kendime kendi numaramı alcam kalitesi,negatif
"Kurulumu kolay. 2.5 Ghz mesafesi yeterli seviyede. 5 Ghz sinyali, modemin önünde veya arkasında durursanız iki duvar sonrasında tek diş düşüyor. Yan taraflarında durursanız arada duvar olmasa bile 1-2 dişe kadar düşüyor. Aradaki mesafe 5 metre bile değil. Üç antenli bir modeme göre beklentiyi karşıladığını düşünmüyorum. Benim aldığım modem 2. versiyon. Güncellemesini yaptım. En doğru yorumlar bu site de yapılsa da bazı kişiler yorum yapmadan oylama yapıp insanları yanıltıyor.",notr
urun görünüş olarak çok sık çok güzel ama 2 3 kademede çok ses yapıyor urun ses rahatsız edici duzeyde,notr
kardeşim almıştım herşey giyebiliyor rahat,pozitif
bilgisayarı kapatıp kapağını indirdiğiniz zaman kapak güç düğmesine baskı yapıyor bilgisayar kendiliğinden açılıyor ayrıca hoparlörlerinde sorun vardı bilgisayarda donma kadmalar mevcut,negatif
Küçük olmasına rağmen çok başarılı.,pozitif
Elimden düşüremiyorum. Çocukluğuma döndüm.,pozitif
kızıma almıştım birtik büyük almamaragman ayakkabı vuruyor can acıtıyor memnun kalmadık,negatif
ürün tam numara alın derim,notr
Çok kötüüüüüüüü,negatif
yeğenime beğenerek giyiyor alın aldırın kendi numaranızı alabilirsiniz👍👍👍,pozitif
"Merhaba,
Bu ürünü yaklaşık 2 hafta önce aldım. fiyatına göre gayet iyi bir makine. biraz fazla ısınıyor ama olsun. üzerindeki ayrıca kesim numara ayarı bulunması güzel. sakalınızı istediğiniz kısalığa kadar kesebiliyor.",notr
bedeni küçük m giyen l almalı,negatif
herşeyi m beden s beden durdu üstümde 1 beden büyük almayı tercih edin,negatif
ürün mağazada yazılan özellikler kurulumu 5 dk sürdü önceden hazırlık yapmıştım tek flashla kuruldu test ettim oyun oynarken hafif ısınma yapıyor bır notebook soğutu işi çözer onun haricinde ürünün kutusu ürünün kutusu değildi 8 gb ram 256 gb ssd yazıyordu yine açtık kurdum özelliklerine bakınca tamam dedim yoksa iade edecektim,notr
kayinvalideme memnun yere giderken bunu giyiyor artık tam numara,pozitif
ürünü iade talebi yaptım çünkü bu kadar yüksek bir fiyata alınıpta ışık süzmesi sorunu + ölü piksel çıkması ve gsync açınca üründe ya ürünle alakalı yada benim pc ile alakalı olabilir sistemim 16gb ram 1060 6gb i7 7700hq işlemci var gsync açıkken anlık olarak csgo oynarken ekranda aniden çok hızlı bir şekilde beyaz bir kırılma oluyor ama çok hızlı ya ekran kartımla işlemci tam beslemiyor 240 hzde yada monitörde sorun var 144 hz alıpta test ettim ve csgo 200-240 fps arası gidiyor fakat gene aynı olay olduğundan iade talebimi başlattım.Ürünü 2.kere alışım ve bu kez neyle karşılaştım 4 adet ölü piksel artı sol üst çercevede ezilme ile karşılaştım tabikide bu amazzonun sorunu değil çünkü üretici firma asus yani test etmeden yolluyor yada ürünler cidden berbat kalitede 2 defa heves edip satın aldım sırf ips panel ve hz yüksek diye tercih ettim böyle 2 kere alınıpta ürün sürekli sorunlu gelecekse anlamı yok ve şunuda ekliyim ürünün kutusu yırttıktı garanti belgeside çıkmadı ama gene aynı ürünü alıcam ama sonra şimdi alsam gene sorunlu çıkıcak ürünü ona göre satın alın sizdee ölü piksel yada başka hatalar olabilir,negatif
Ürünün dikişleri sağlam değil hemen koptu kullanamadim,negatif
kendim şahsen laptop alış satışı yapan olarak şuan piyasada fiyata alınabilecek tek cihaz tamamen fiyat performans cihazı tavsiye ederim paketleme güzeldi,pozitif
tam beden almalısınız,pozitif
gayet iş görür sağlam bir ürün keşke tarak sayısı daha fazla olsaymıs,notr
pek kaliteli değil decathlondan aldığım toplar,negatif
ürünün ekranı kırıldı tekrar garantiye yolladık4 ay orijinal takılacak denildi orijinal ekran takılmamış ufak darbede ekran tekrar kırıldı tekrar aradığımızda zaten orijinal değildi bize söylendi şuan mağdur durumdayım ekranım kırık lütfen geri dönüşler yapılsın orijinal ekran takılsın,negatif
ürünü iade ediyorum ilk günden ekran kararmaya başladı ikinci gün tamamen karardı üzüldüm gerçekten,negatif
İndirimden yarı giyatına aldım giymeyip atsam bile üzülmem diyerek aldım. Benim aldığım fiyata göre iyi ancak kalite yok üzgünüm...,negatif
Görüntü aynı ekran görüntüsü gidip geliyor çocuklar için ideal beklenti büyük olmamalı fiyatına göre makul ürün..,notr
içi yumuşacık kendi ayak numaranızı alın kalıbı tam,pozitif
